Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
T1,4507,1554.58,ATM Withdrawal,13,Mobile,New York,4,79,3,Credit Card,0
T2,2130,1490.5,POS Payment,19,Mobile,San Francisco,2,57,7,Credit Card,0
T3,2095,2372.04,ATM Withdrawal,15,Desktop,Boston,3,96,14,Credit Card,0
T4,2238,2733.84,Bill Payment,20,Mobile,San Francisco,2,68,1,Credit Card,0
T5,3433,4519.04,Bill Payment,13,Tablet,Boston,0,81,10,Credit Card,1
T6,3324,428.39,POS Payment,20,Desktop,New York,0,85,10,Credit Card,0
T7,3904,821.79,ATM Withdrawal,7,Mobile,San Francisco,2,116,10,Credit Card,0
T8,3047,4413.05,Bank Transfer,21,Desktop,Boston,4,46,11,Credit Card,1
T9,1975,4972.42,Online Purchase,13,Tablet,Houston,1,93,14,Credit Card,0
T10,2528,2382.83,POS Payment,,Unknown Device,New York,0,27,14,Credit Card,0
T11,4556,2465.1,Bill Payment,18,Tablet,Houston,2,41,14,Credit Card,0
T12,4890,2680.78,Bank Transfer,21,Mobile,Los Angeles,3,68,5,Credit Card,0
T13,3888,2438.52,Bill Payment,3,Mobile,Seattle,1,18,11,Credit Card,0
T14,3824,787.58,Online Purchase,0,Mobile,,1,103,1,Credit Card,0
T15,1034,1383.11,ATM Withdrawal,12,Mobile,Boston,3,20,11,Credit Card,1
T16,3253,970.6,ATM Withdrawal,8,Mobile,Los Angeles,3,11,2,Credit Card,0
T17,2021,4013.85,ATM Withdrawal,2,Tablet,Los Angeles,4,57,12,Credit Card,0
T18,4893,751.78,ATM Withdrawal,1,,Houston,4,89,8,Credit Card,0
T19,2500,2089.99,Bill Payment,0,Tablet,Chicago,3,16,11,Credit Card,0
T20,3449,1755.29,Online Purchase,15,Tablet,Boston,1,9,1,Credit Card,0
T21,2981,4472.99,Bank Transfer,18,Tablet,Chicago,0,100,14,Credit Card,0
T22,3317,2083.88,Online Purchase,15,Tablet,San Francisco,4,30,8,Credit Card,0
T23,4342,255.38,POS Payment,6,Tablet,New York,2,41,1,Credit Card,0
T24,2016,699.1,Bank Transfer,21,Tablet,,4,38,1,Credit Card,0
T25,3767,3986.92,ATM Withdrawal,2,Mobile,Chicago,3,109,11,Credit Card,0
T26,1337,3157.89,Online Purchase,9,Desktop,New York,2,43,1,Credit Card,0
T27,2076,2770.71,Online Purchase,14,Tablet,New York,0,90,4,Credit Card,0
T28,3235,3088.02,POS Payment,17,,San Francisco,1,91,3,Credit Card,0
T29,3062,1747.8,Bill Payment,21,Desktop,Miami,2,102,7,Credit Card,0
T30,3568,4865.9,Bank Transfer,23,Tablet,San Francisco,1,72,14,Credit Card,0
T31,2367,910.24,Bill Payment,10,Desktop,San Francisco,2,80,14,Credit Card,0
T32,2152,4476.18,POS Payment,0,Tablet,Los Angeles,1,83,9,Credit Card,0
T33,3695,4679.99,Bill Payment,13,Desktop,San Francisco,1,40,7,Credit Card,0
T34,3278,1697.94,ATM Withdrawal,18,Tablet,Seattle,0,114,3,Credit Card,0
T35,1200,1025.98,Online Purchase,18,Mobile,Houston,0,13,2,Credit Card,0
T36,2751,1865.16,ATM Withdrawal,14,Tablet,,1,96,1,Credit Card,0
T37,3660,4113.35,Bill Payment,19,Tablet,Boston,0,5,5,Credit Card,0
T38,4289,3313.88,POS Payment,20,Mobile,San Francisco,3,81,2,Credit Card,0
T39,4625,3481.9,Bank Transfer,,Tablet,New York,3,65,13,Credit Card,0
T40,2484,2088.11,Bank Transfer,13,Mobile,Boston,3,1,3,Credit Card,0
T41,2757,1973.6,Online Purchase,22,Tablet,Miami,1,8,9,Credit Card,0
T42,4478,743,POS Payment,18,Mobile,New York,1,7,12,Credit Card,0
T43,3796,2747.17,ATM Withdrawal,19,Tablet,Houston,3,3,1,Credit Card,0
T44,2183,2710.25,POS Payment,3,Tablet,San Francisco,4,33,13,Credit Card,0
T45,4060,339.61,Bank Transfer,,Desktop,San Francisco,4,102,9,Credit Card,0
T46,2363,2676.47,Online Purchase,,Desktop,Chicago,3,62,8,Credit Card,0
T47,2663,3833.44,Bank Transfer,17,Mobile,Seattle,4,70,2,Credit Card,0
T48,4419,4861.83,ATM Withdrawal,17,Tablet,San Francisco,2,54,10,Credit Card,0
T49,2496,1494.83,Online Purchase,19,,New York,1,25,1,Credit Card,0
T50,2408,3832.61,Bank Transfer,,Desktop,Chicago,2,13,5,Credit Card,0
T51,1972,4573.17,Bank Transfer,16,Mobile,,2,31,6,Credit Card,0
T52,2479,626.06,Bill Payment,3,Desktop,Los Angeles,1,75,7,Credit Card,0
T53,4748,4015.37,Online Purchase,4,Unknown Device,Boston,1,84,12,Credit Card,0
T54,1663,4887.25,Online Purchase,14,Desktop,New York,2,75,4,Credit Card,0
T55,4763,3048.77,Bill Payment,22,Desktop,Boston,3,111,13,Credit Card,0
T56,2291,1483.48,POS Payment,23,Tablet,Houston,4,107,1,Credit Card,0
T57,4184,1430.17,POS Payment,6,Mobile,Los Angeles,2,106,2,Credit Card,0
T58,1641,732.59,POS Payment,17,Mobile,San Francisco,2,26,14,Credit Card,0
T59,2589,1730.58,ATM Withdrawal,13,Mobile,Miami,1,64,7,Credit Card,0
T60,2759,60.95,Online Purchase,16,Desktop,,3,39,14,Credit Card,0
T61,3432,660.91,Bill Payment,9,Mobile,Los Angeles,1,100,5,Credit Card,0
T62,2439,4956.19,Bill Payment,11,Tablet,Los Angeles,2,39,3,Credit Card,0
T63,3294,4455.85,POS Payment,23,Tablet,Miami,4,7,13,Credit Card,0
T64,1202,4991.93,Bank Transfer,,Mobile,San Francisco,1,109,13,Credit Card,1
T65,4255,2739.25,Bank Transfer,23,,Chicago,2,12,3,Credit Card,0
T66,4681,49997.8,Bill Payment,0,Mobile,Houston,4,4,14,Credit Card,0
T67,4272,,POS Payment,23,Tablet,,0,25,14,Credit Card,0
T68,2147,49997.8,Bank Transfer,22,,Miami,0,41,10,Credit Card,0
T69,4397,2698.09,ATM Withdrawal,11,Mobile,,2,111,10,Credit Card,0
T70,2843,1592.28,Online Purchase,8,Tablet,Chicago,3,22,5,Credit Card,0
