Transaction_ID,User_ID,Normalized_Transaction_Amount
T2,4507,0.030986953
T5,2130,0.029705157
T6,2095,0.047338662
T12,2238,0.054575772
T28,3433,0.09028525
T31,3324,0.008459698
T38,3904,0.016328905
T44,3047,0.088165125
T47,1975,0.099354241
T58,2528,0.047554495
T60,4556,0.049200147
T61,4890,0.053514409
T64,3888,0.048668466
T73,3824,0.0156446
T85,1034,0.027557027
T86,3253,0.019305561
T93,2021,0.0801799
T98,4893,0.01492849
T99,2500,0.041696796
T101,3449,0.035001769
T106,2981,0.089364108
T108,3317,0.041574578
T111,4342,0.004998967
T116,2016,0.013874728
T120,3767,0.079641217
T122,1337,0.063058073
T124,2076,0.055313285
T129,3235,0.061660459
T134,3062,0.034851946
T139,3568,0.097223514
T140,2367,0.018098176
T141,2152,0.089427918
T143,3695,0.093504744
T156,3278,0.033854593
T161,1200,0.020413331
T170,2751,0.037199506
T179,3660,0.082170205
T184,4289,0.066178352
T194,4625,0.069539267
T196,2484,0.041659191
T206,2757,0.039368639
T208,4478,0.014752863
T210,3796,0.054842413
T216,2183,0.0541039
T226,4060,0.006683825
T232,2363,0.053428196
T236,2663,0.076571146
T239,4419,0.097142102
T240,2496,0.02979177
T244,2408,0.076554543
T249,1972,0.091368016
T254,2479,0.012413704
T258,4748,0.080210304
T263,1663,0.09765058
T271,4763,0.060875338
T277,2291,0.029564735
T282,4184,0.028498372
T290,1641,0.014544631
T292,2589,0.034507493
T294,2759,0.00110977
T296,3432,0.013110811
T305,2439,0.099029591
T306,3294,0.089021256
T309,1202,0.099744501
T310,4255,0.054683989
T318,4681,1
T326,4272,-0.000109417
T327,2147,1
T329,4397,0.053860662
T345,2843,0.031741069
T358,2438,0.074041358
T360,2634,0.094788341
T362,2787,0.081582315
T367,4643,0.051703931
T371,2327,0.043549681
T373,4723,0.01916654
T374,1452,0.096303173
T381,2682,0.084275528
T382,3863,0.035506247
T388,4191,-0.000109417
T391,1627,0.006042527
T405,2884,0.067783598
T427,2218,0.019384574
T428,1400,0.009104397
T452,3331,0.065244008
T453,3926,0.064785538
T456,1452,0.079318367
T460,1658,0.088635197
T462,1546,0.09764998
T466,1016,-0.000109417
T467,4243,0.073883534
T476,2768,-0.000109417
T477,2060,0.005445035
T481,1301,0.03011702
T486,1992,0.067628974
T488,1190,0.094207251
T490,1980,0.022950721
T495,4394,0.05437054
T500,3613,0.071098507
T503,2895,0.041166915
T506,1625,0.00573868
T513,3537,-0.000109417
T518,4882,0.005755683
T520,4247,0.079494995
T521,4110,0.033936006
T522,2500,0.038668932
T526,2890,0.050059879
T534,4896,0.087189775
T536,1684,0.009504258
T543,1971,0.021975971
T546,2166,0.019234151
T547,2115,0.076152682
T553,1853,0.068957778
T555,4736,0.032868842
T556,4769,0.026482062
T557,1574,0.092477386
T560,3197,0.034995168
T562,3617,1
T567,1837,0.070825665
T574,3311,0.005663869
T577,4051,0.057129364
T590,3983,0.024852612
T593,1268,0.075013307
T595,1635,0.063326114
T600,1119,0.069469657
T606,2369,0.032756625
T612,2150,0.039214415
T615,2012,0.029657149
T618,1633,0.067644777
T619,1512,0.064746732
T621,3849,0.081708734
T622,2119,0.056548074
T633,1703,0.003794182
T639,4147,0.000594291
T654,4059,0.06597432
T668,3070,0.095210405
T672,4908,0.039170809
T673,4171,0.047369466
T674,3849,0.04211246
T678,3809,0.057801267
T685,1515,0.05619402
T692,1895,0.08591778
T706,2291,0.099663288
T707,4906,0.058796219
T724,3774,0.005381225
T725,3896,0.05202398
T726,1089,0.081582315
T727,1775,0.085056248
T728,3652,0.023514607
T740,2649,0.005175994
T743,1412,0.039012384
T748,4068,0.00332691
T751,4465,-0.000109417
T753,3504,0.075708814
T756,3786,0.082608472
T757,4760,0.084898223
T760,1977,0.082432445
T761,2008,0.007924616
T763,2687,0.04478767
T764,3710,0.018681866
T775,1872,0.02053215
T778,4952,0.017690714
T779,3109,0.096331577
T785,1698,0.067085291
T787,3224,0.033868996
T790,3492,0.05423412
T794,1264,0.043389056
T802,4577,0.00267501
T804,1143,0.003348714
T806,4140,0.01049321
T807,4170,0.009675284
T808,1395,0.079276161
T810,3995,0.080036678
T811,3938,0.02724618
T816,2167,0.04517833
T829,2238,0.059890787
T830,1732,0.070016741
T833,3705,0.033057471
T836,4080,0.097988231
T837,4145,0.063746779
T838,1953,0.019333966
T842,4301,-0.000109417
T847,3217,0.008756543
T849,3993,0.014970897
T853,2540,0.097478953
T860,2388,0.040507614
T869,2155,0.049594608
T871,4141,0.097018683
T875,3492,0.05944992
T876,3923,0.027522822
T884,4197,0.05958474
T888,1753,-0.000109417
T890,4709,0.094085633
T892,2683,-0.000109417
T893,3523,0.041032094
T898,2958,0.021434488
T902,3395,0.0593229
T913,1133,0.060228239
T914,3105,0.002731219
T918,3220,0.090563893
T920,1814,0.038415493
T922,1079,0.046877991
T923,3933,0.075235141
T924,4284,0.078920906
T925,1202,0.049847247
T933,4473,0.09113358
T934,3094,-0.000109417
T945,3703,0.067723989
T948,2035,0.073355653
T952,1967,0.042213075
T955,4479,0.045561789
T957,1372,0.078220799
T958,2031,1
T960,2371,0.069979735
T968,3779,-0.000109417
T969,1868,0.076240695
T987,4618,0.049139738
T988,4324,0.041958436
T994,2838,0.0736637
T995,2944,0.08285391
T998,3871,0.014248586
T999,1797,0.02972756
T1000,4313,0.062294356
T1004,4190,0.056474063
T1005,2015,-0.000109417
T1022,2484,0.014306795
T1030,1517,0.051261263
T1031,1475,0.049866249
T1037,3818,0.083230968
T1044,4529,0.088779619
T1045,1082,0.067718388
T1047,4156,0.070411201
T1056,2469,0.047454079
T1059,1487,0.049648616
T1060,2823,0.012814766
T1065,2574,0.096620422
T1067,1249,-0.000109417
T1075,2984,0.065752286
T1080,4805,0.080383731
T1082,2848,0.00371317
T1086,4374,0.010189963
T1087,3966,0.007776793
T1088,4278,0.002556992
T1089,2252,0.005488642
T1094,1434,0.022582664
T1098,1763,0.031824082
T1100,3853,0.066825451
T1108,1446,0.049062326
T1116,2019,0.051774742
T1122,3180,0.046548541
T1125,1137,0.061206189
T1126,3231,0.064640716
T1135,4845,0.049852447
T1136,3100,0.077886748
T1140,4818,0.009195011
T1141,1042,0.042955389
T1143,2906,0.034870349
T1151,4445,0.056732303
T1154,1899,0.087792067
T1159,4266,0.056367847
T1160,2887,0.065613665
T1169,4474,0.034991168
T1171,2028,0.059805774
T1179,4584,0.015718611
T1182,1523,-0.000109417
